,Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2287,2010-09-15,7.3115,7.3115,7.3115,7.3115,0.031,,,0.0,,,
2288,2010-09-14,7.17325,7.17325,7.17325,7.17325,-0.0695,,,9139.0,20.0,,
2289,2010-09-13,7.24275,7.24275,7.24275,7.24275,-0.05675,,,9073.0,73.0,,
2290,2010-09-10,7.2995,7.2995,7.2995,7.2995,-0.02725,,,9101.0,130.0,,
2291,2010-09-09,7.32675,7.32675,7.32675,7.32675,-0.0095,,,8985.0,140.0,,
2292,2010-09-08,7.33625,7.33625,7.33625,7.33625,-0.062,,,8828.0,150.0,,
2293,2010-09-07,7.39825,7.39825,7.39825,7.39825,0.0575,,2066.0,7730.0,229.0,,
2294,2010-09-06,7.34075,7.34075,7.34075,7.34075,0.03075,,2213.0,5469.0,48.0,,
2295,2010-09-03,7.31,7.31,7.31,7.31,-0.0445,,,5011.0,145.0,,
2296,2010-09-02,7.3545,7.3545,7.3545,7.3545,-0.069,,4000.0,268.0,455.0,,
2297,2010-09-01,7.4235,7.4235,7.4235,7.4235,-0.10675,,,268.0,2.0,,
2298,2010-08-31,7.53025,7.53025,7.53025,7.53025,0.05825,,,225.0,1.0,,
2299,2010-08-30,7.472,7.472,7.472,7.472,0.02875,,,225.0,,,
2300,2010-08-27,7.44325,7.44325,7.44325,7.44325,-0.0275,,,225.0,,,
2301,2010-08-26,7.47075,7.47075,7.47075,7.47075,-0.00875,,,225.0,,,
2302,2010-08-25,7.4795,7.4795,7.4795,7.4795,-0.021,,,225.0,,,
2303,2010-08-24,7.5005,7.5005,7.5005,7.5005,0.0035,,,0.0,225.0,,
2304,2010-08-23,7.497,7.497,7.497,7.497,0.031,,,0.0,,,
2305,2010-08-20,7.466,7.466,7.466,7.466,0.032,,,0.0,,,
2306,2010-08-19,7.434,7.434,7.434,7.434,0.031,,,0.0,,,
2307,2010-08-18,7.403,7.403,7.403,7.403,-0.014,,,0.0,,,
2308,2010-08-17,7.417,7.417,7.417,7.417,-0.005,,,0.0,,,
2309,2010-08-16,7.422,7.422,7.422,7.422,-0.0415,,,0.0,,,
2310,2010-08-13,7.4635,7.4635,7.4635,7.4635,0.01575,,,0.0,,,
2311,2010-08-12,7.44775,7.44775,7.44775,7.44775,0.00325,,,0.0,,,
2312,2010-08-11,7.4445,7.4445,7.4445,7.4445,0.095,,,0.0,,,
2313,2010-08-10,7.3495,7.3495,7.3495,7.3495,0.01075,,,0.0,,,
2314,2010-08-09,7.33875,7.33875,7.33875,7.33875,-0.056,,,0.0,,,
2315,2010-08-06,7.39475,7.39475,7.39475,7.39475,-0.023,,,0.0,,,
2316,2010-08-05,7.41775,7.41775,7.41775,7.41775,-0.01225,,,0.0,,,
