Date,Day of Week,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2/7/2018,Wednesday,1332.8,1332.9,1318.9,1318.9,14.5,1311.6,10,279
2/6/2018,Tuesday,1333.8,1333.8,1333.8,1333.8,6.9,1326.1,1,280
2/5/2018,Monday,,,,,0.7,1333,0,280
2/2/2018,Friday,1353.8,1353.8,1338,1338,10.6,1333.7,7,280
2/1/2018,Thursday,1341.9,1353.2,1341.9,1353.2,5.3,1344.3,21,300
1/31/2018,Wednesday,1335.6,1349,1335.2,1348.7,3.6,1339,20,301
1/30/2018,Tuesday,1338.8,1347.6,1332.9,1336.5,4.9,1335.4,760,2078
1/29/2018,Monday,1349,1351.3,1336.2,1338.8,11.8,1340.3,3169,2527
1/26/2018,Friday,1347.5,1356.1,1343.8,1348.4,10.8,1352.1,4805,2672
1/25/2018,Thursday,1358.1,1365.4,1341.3,1347,6.6,1362.9,7863,3144
1/24/2018,Wednesday,1341.3,1361.5,1339,1357.9,19.6,1356.3,5118,3082
1/23/2018,Tuesday,1332.9,1341.4,1330.8,1341,4.8,1336.7,4067,3212
1/22/2018,Monday,1333,1336,1328.1,1333.6,1.2,1331.9,3279,3279
1/19/2018,Friday,1327.3,1338,1326.4,1331.7,5.9,1333.1,4178,3254
1/18/2018,Thursday,1327.5,1333.2,1324.3,1327.1,12,1327.2,4171,3142
1/17/2018,Wednesday,1339.1,1344.3,1326.5,1327.3,2.1,1339.2,7140,3187
1/16/2018,Tuesday,1337.5,1345,1332.2,1338.7,2.2,1337.1,8786,3301
1/12/2018,Friday,1323.2,1339.9,1320.8,1338.2,12.4,1334.9,7248,3204
1/11/2018,Thursday,1317.7,1324.6,1316,1323,3.2,1322.5,4089,3159
1/10/2018,Wednesday,1313.1,1328.4,1309,1317.6,5.6,1319.3,5689,3022
1/9/2018,Tuesday,1321.2,1321.3,1309.6,1313.7,6.7,1313.7,4463,3074
1/8/2018,Monday,1322.6,1323.1,1315.7,1321.2,1.9,1320.4,3447,2994
1/5/2018,Friday,1324.2,1324.6,1314.6,1320.3,0.7,1322.3,5213,3134
1/4/2018,Thursday,1314.6,1327.3,1307.1,1323.9,3.1,1321.6,6348,3105
1/3/2018,Wednesday,1318.9,1323,1309,1314.7,2.4,1318.5,5504,3166
1/2/2018,Tuesday,1305.2,1320.4,1304.7,1319,6.8,1316.1,3562,3039
12/29/2017,Friday,1297.1,1309.8,1296.1,1305,12.1,1309.3,3301,2819
12/28/2017,Thursday,1291.6,1297.4,1290.6,1297.1,5.8,1297.2,3518,3535
12/27/2017,Wednesday,,,,,2.9,1287,0,215
12/26/2017,Tuesday,1289,1289,1289,1289,8.7,1284.1,7,222
12/22/2017,Friday,1278.4,1278.4,1278.4,1278.4,8.1,1275.4,1,222
12/21/2017,Thursday,,,,,1.2,1267.3,0,222
12/20/2017,Wednesday,,,,,5.4,1266.1,0,222
12/19/2017,Tuesday,,,,,1.5,1260.7,0,222
12/18/2017,Monday,,,,,7.9,1262.2,0,222
