Date,Settle,RelVal,,,,,14660,,,,,,100
42951,1258.3,1245.77832,(12.52),13.88 ,1 ,29.40 ,2940 ,(7100),(1),(2940),(7140),,
42944,1268.4,1231.89978,(36.50),13.84 ,1 ,(10.10),(1010),(6090),(1),1010 ,(8150),,
42937,1254.9,1218.057373,(36.84),(22.35),(1),13.50 ,(1350),(4740),(1),(1350),(6800),,
42930,1227.5,1240.407959,12.91 ,(6.45),(1),27.40 ,(2740),(2000),1 ,2740 ,(9540),,
42923,1209.7,1246.860107,37.16 ,(9.49),(1),17.80 ,(1780),(220),1 ,1780 ,(11320),,
42916,1242.3,1256.348755,14.05 ,(33.41),(1),(32.60),3260 ,(3480),1 ,(3260),(8060),,
42909,1256.2,1289.760742,33.56 ,(7.33),(1),(13.90),1390 ,(4870),1 ,(1390),(6670),,
42902,1254,1297.091675,43.09 ,36.99 ,1 ,2.20 ,220 ,(5090),1 ,220 ,(6890),,
42895,1268.5,1260.100098,(8.40),5.89 ,1 ,(14.50),(1450),(3640),(1),1450 ,(8340),,
42888,1276.8,1254.209961,(22.59),35.59 ,1 ,(8.30),(830),(2810),(1),830 ,(9170),,
42881,1267.6,1218.619629,(48.98),(2.01),(1),9.20 ,(920),(1890),(1),(920),(8250),,
42874,1252.7,1220.632446,(32.07),(45.03),(1),14.90 ,(1490),(400),(1),(1490),(6760),,
42867,1226.2,1265.657593,39.46 ,(20.31),(1),26.50 ,(2650),2250 ,1 ,2650 ,(9410),,
42860,1224.8,1285.964111,61.16 ,(6.17),(1),1.40 ,(140),2390 ,1 ,140 ,(9550),,
42853,1266.1,1292.133423,26.03 ,35.19 ,1 ,(41.30),(4130),6520 ,1 ,(4130),(5420),,
42846,1287.4,1256.938721,(30.46),7.01 ,1 ,(21.30),(2130),8650 ,(1),2130 ,(7550),,
42842,1289.4,1249.932251,(39.47),(0.37),(1),(2.00),200 ,8450 ,(1),200 ,(7750),,
42832,1254.3,1250.304688,(4.00),22.40 ,1 ,35.10 ,3510 ,4940 ,(1),(3510),(4240),,
42825,1247.3,1227.9021,(19.40),29.32 ,1 ,7.00 ,700 ,4240 ,(1),(700),(3540),,
42818,1248.2,1198.585449,(49.61),(32.44),(1),(0.90),90 ,4150 ,(1),90 ,(3630),,
42811,1229.8,1231.028442,1.23 ,(22.98),(1),18.40 ,(1840),5990 ,1 ,1840 ,(5470),,
42804,1200.7,1254.009155,53.31 ,17.15 ,1 ,29.10 ,2910 ,3080 ,1 ,2910 ,(8380),,
42797,1225.5,1236.8573,11.36 ,5.81 ,1 ,(24.80),(2480),5560 ,1 ,(2480),(5900),,
42790,1256.9,1231.049194,(25.85),7.23 ,1 ,(31.40),(3140),8700 ,(1),3140 ,(9040),,
42783,1237.6,1223.81543,(13.78),28.07 ,1 ,19.30 ,1930 ,6770 ,(1),(1930),(7110),,
42776,1234.4,1195.742065,(38.66),(17.99),(1),3.20 ,(320),7090 ,(1),(320),(6790),,
42769,1218.5,1213.730713,(4.77),3.12 ,1 ,15.90 ,1590 ,5500 ,(1),(1590),(5200),,
42762,1188.4,1210.615234,22.22 ,27.46 ,1 ,30.10 ,3010 ,2490 ,1 ,3010 ,(8210),,
42755,1204.9,1183.154541,(21.75),25.74 ,1 ,(16.50),(1650),4140 ,(1),1650 ,(9860),,
42748,1196.2,1157.415649,(38.78),21.35 ,1 ,8.70 ,870 ,3270 ,(1),(870),(8990),,
42741,1173.4,1136.066406,(37.33),(8.57),(1),22.80 ,(2280),5550 ,(1),(2280),(6710),,
42734,1151.7,1144.639648,(7.06),(26.16),(1),21.70 ,(2170),7720 ,(1),(2170),(4540),,
42727,1131.9,1170.796509,38.90 ,(4.28),(1),19.80 ,(1980),9700 ,1 ,1980 ,(6520),,
42720,1135.3,1175.077759,39.78 ,(14.40),(1),(3.40),340 ,9360 ,1 ,(340),(6180),,
42713,1159.4,1189.47644,30.08 ,(28.89),(1),(24.10),2410 ,6950 ,1 ,(2410),(3770),,
42706,1175.1,1218.367676,43.27 ,(29.25),(1),(15.70),1570 ,5380 ,1 ,(1570),(2200),,
42699,1178.4,1247.620361,69.22 ,(57.73),(1),(3.30),330 ,5050 ,1 ,(330),(1870),,
42692,1208.7,1305.348877,96.65 ,20.90 ,1 ,(30.30),(3030),8080 ,1 ,(3030),1160 ,,
42685,1224.3,1284.444092,60.14 ,4.22 ,1 ,(15.60),(1560),9640 ,1 ,(1560),2720 ,,
42678,1304.5,1280.223999,(24.28),13.63 ,1 ,(80.20),(8020),17660 ,(1),8020 ,(5300),,
42671,1276.8,1266.595459,(10.20),(1.38),(1),27.70 ,(2770),20430 ,(1),(2770),(2530),,
42664,1265.9,1267.974121,2.07 ,(59.26),(1),10.90 ,(1090),21520 ,1 ,1090 ,(3620),,
42657,1253.1,1327.238159,74.14 ,(31.73),(1),12.80 ,(1280),22800 ,1 ,1280 ,(4900),,
