Business_Week,Platinum_Change,Platinum_Settle,Platinum_Volume,Platinum_Prev. Day Open Interest,Date,Open Interest,Money Manager Shorts,Money Manager Longs,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Ten_Yr_Futures_Change,Ten_Yr_Futures_Settle,Ten_Yr_Futures_Volume,Ten_Yr_Futures_Prev. Day Open Interest,USD_Change,USD_Settle,USD_Volume,USD_Wave,USD_Prev. Day Open Interest,ZAR_Change,ZAR_Settle,ZAR_Volume,ZAR_Wave,ZAR_Prev. Day Open Interest
"[2006-11-08, 2006-11-14]",0.0,1195.5666666666668,2258.3333333333335,,2006-11-14,8258.0,1336.0,2942.0,702.0,4352.0,0.0,108.1875,918098.4,2373777.2,-0.15999999999999998,85.08399999999999,2645.8,,34606.8,-0.062,7.285300000000001,84.8,,3241.6
"[2006-11-15, 2006-11-21]",0.0,1201.12,4197.8,,2006-11-21,7580.0,804.0,2797.0,480.0,4118.0,0.0,108.103125,1166657.6,2353032.4,0.04000000000000001,85.256,1669.2,,33495.6,-0.032,7.268299999999999,32.8,,3604.6
"[2006-11-22, 2006-11-28]",0.0,1151.5,2237.5,,2006-11-28,8099.0,817.0,2748.0,543.0,4340.0,0.0,108.58203125,1166028.75,2486386.5,-2.01,83.79399999999998,4293.2,,36145.4,-0.08400000000000002,7.166900000000001,80.0,,2411.0
"[2006-11-29, 2006-12-05]",0.0,1155.4599999999998,2392.8,,2006-12-05,8034.0,810.0,2405.0,775.0,4273.0,0.0,109.190625,503803.4,2290807.0,-0.71,82.68800000000002,4183.8,,39907.8,-0.05149999999999999,7.170699999999999,325.2,,1687.8
"[2006-12-06, 2006-12-12]",0.0,1116.52,1844.0,,2006-12-12,8162.0,775.0,2312.0,826.0,3802.0,0.0,108.896875,44313.6,2245432.8,0.56,82.97,6064.4,,45323.2,-0.0995,7.056699999999999,82.4,,1552.6
"[2006-12-13, 2006-12-19]",0.0,1109.6200000000001,1273.4,,2006-12-19,8167.0,743.0,2410.0,770.0,3776.0,0.0,108.346875,14641.8,2256095.0,1.238,83.9032,1960.0,,43780.0,0.009500000000000001,6.990899999999999,80.4,,1239.6
"[2006-12-20, 2006-12-26]",0.0,1123.7,1727.75,,2006-12-26,8549.0,781.0,2575.0,1226.0,4059.0,0.0,108.3671875,484666.25,2187903.25,0.57,83.737,653.75,,23270.0,0.048,7.072333333333333,278.3333333333333,,1495.3333333333333
"[2006-12-27, 2007-01-02]",0.0,1127.625,1180.5,,2007-01-03,8383.0,805.0,3370.0,1036.0,4295.0,0.0,107.6328125,393302.5,2200475.75,-0.8500000000000001,83.4125,2102.5,,28215.25,-0.165,7.059125,275.0,,1767.0
"[2007-01-03, 2007-01-09]",0.0,1126.98,468.4,,2007-01-09,8058.0,975.0,2958.0,1074.0,4051.0,0.0,107.8625,943248.6,2299049.0,1.5499999999999998,84.212,3493.8,,27407.2,0.4245,7.2426,270.2,,2902.4
"[2007-01-10, 2007-01-16]",0.0,1150.7,1867.8,,2007-01-16,8504.0,776.0,3247.0,1230.0,4257.0,0.0,107.34375,1046754.0,2324793.5,0.32999999999999996,84.87,2522.8,,23334.2,-0.107,7.301699999999999,218.0,,2586.8
"[2007-01-17, 2007-01-23]",0.0,1167.98,1593.2,,2007-01-23,9102.0,725.0,3946.0,803.0,4736.0,0.0,107.0625,991336.2,2350175.8,-0.37,84.69800000000001,1315.6,,20899.8,-0.11299999999999999,7.1964,168.6,,2124.4
"[2007-01-24, 2007-01-30]",0.0,1178.08,1314.6,,2007-01-30,9855.0,834.0,4416.0,951.0,5125.0,0.0,106.53125,946069.8,2400544.6,0.38,84.92,2343.2,,22028.0,0.1875,7.3113,111.0,,2266.4
"[2007-01-31, 2007-02-06]",0.0,1180.1200000000001,2361.8,,2007-02-06,10390.0,919.0,4264.0,1117.0,4716.0,0.0,106.825,1225563.6,2419841.4,-0.22,84.648,3528.6,,23883.4,-0.14400000000000002,7.2321,181.0,,2843.4
"[2007-02-07, 2007-02-13]",0.0,1200.0800000000002,1727.4,,2007-02-13,10596.0,1149.0,4705.0,1129.0,4778.0,0.0,107.06875,1011607.6,2414897.4,-0.04999999999999999,84.69800000000001,2492.0,,24435.6,0.07000000000000002,7.2441,266.0,,3753.8
"[2007-02-14, 2007-02-20]",0.0,1217.1200000000001,1880.4,,2007-02-20,10924.0,876.0,5120.0,1265.0,5093.0,0.0,107.5390625,1136114.75,2346413.0,-0.51,84.018,3436.4,,28651.0,-0.118,7.178400000000001,277.6,,6080.6
"[2007-02-21, 2007-02-27]",0.0,1239.2199999999998,1810.0,,2007-02-27,12293.0,814.0,5950.0,1139.0,5744.0,0.0,107.88125,1771206.0,2324057.0,-0.7,83.90799999999999,4422.0,,31090.4,0.098,7.127199999999999,601.8,,6058.4
"[2007-02-28, 2007-03-06]",0.0,1218.56,4456.0,,2007-03-06,11025.0,457.0,5067.0,1243.0,5418.0,0.0,108.7125,309321.4,2198797.0,0.63,83.77000000000001,2923.0,,32517.8,0.1635,7.3723,1149.6,,4244.4
"[2007-03-07, 2007-03-13]",0.0,1209.62,2115.8,,2007-03-13,10719.0,435.0,5300.0,1251.0,5256.0,0.0,108.7875,42642.0,2187792.6,-0.29,83.914,5946.2,,32450.4,0.066,7.3997,210.6,,1199.2
"[2007-03-14, 2007-03-20]",0.0,1221.58,2424.8,,2007-03-20,11340.0,721.0,5818.0,1054.0,5309.0,0.0,108.8,9216.0,2278135.4,-0.422,83.41319999999999,1464.4,,36208.4,-0.04300000000000001,7.4445,85.0,,980.4
"[2007-03-21, 2007-03-27]",0.0,1236.58,3681.2,,2007-03-27,11320.0,720.0,6010.0,1074.0,5660.0,0.0,108.48125,794826.8,2353691.2,0.22999999999999998,82.9256,1046.6,,23293.4,0.066,7.331625,492.5,,2582.25
"[2007-03-28, 2007-04-03]",0.0,1247.5000000000002,1707.6,,2007-04-03,11787.0,1068.0,6622.0,762.0,5760.0,0.0,108.18125,1181975.8,2497935.4,0.18999999999999997,82.752,1828.4,,29227.4,-0.07050000000000001,7.3359999999999985,395.0,,1978.2
"[2007-04-04, 2007-04-10]",0.0,1262.175,38.25,,2007-04-10,12684.0,1199.0,7113.0,735.0,6356.0,0.0,107.70625,619943.8,2528609.6,-0.43000000000000005,82.657,1502.0,,30733.4,-0.0515,7.192100000000001,362.0,,2066.8
"[2007-04-11, 2007-04-17]",0.0,1277.66,25.0,,2007-04-17,13788.0,1025.0,7827.0,679.0,6627.0,0.0,107.51875,935641.6,2591790.6,-0.8500000000000001,82.00500000000001,1785.4,,32081.2,-0.09050000000000001,7.1858,180.4,,2776.0
"[2007-04-18, 2007-04-24]",0.0,1320.84,1317.2,,2007-04-24,14767.0,1025.0,8316.0,776.0,7549.0,0.0,108.1,890982.2,2592685.0,-0.27,81.47,3010.2,,35799.0,-0.0365,7.084300000000001,99.6,,2867.2
"[2007-04-25, 2007-05-01]",0.0,1302.62,2110.2,,2007-05-01,14652.0,886.0,8524.0,636.0,7859.0,0.0,108.1,1042064.2,2677620.0,0.06999999999999999,81.38,2173.2,,40599.6,-0.003500000000000003,7.0471,403.8,,3215.8
"[2007-05-02, 2007-05-08]",0.0,1326.96,1213.4,,2007-05-08,15130.0,695.0,9129.0,690.0,8060.0,0.0,108.18125,924829.2,2749531.6,0.38,81.676,2823.2,,39158.8,-0.1305,6.9714,247.8,,4548.8
"[2007-05-09, 2007-05-15]",0.0,1334.86,1248.4,,2007-05-15,16081.0,752.0,9992.0,781.0,8485.0,0.0,107.925,1177334.2,2824452.4,-0.15000000000000002,81.94399999999999,2200.8,,34880.2,0.004500000000000005,6.970299999999999,189.8,,5092.2
"[2007-05-16, 2007-05-22]",0.0,1317.66,1589.4,,2007-05-22,15141.0,984.0,9388.0,924.0,7770.0,0.0,107.23125,1182842.8,2982278.2,0.65,82.19200000000001,1938.0,,32502.0,0.1285,7.0331,198.6,,5121.8
"[2007-05-23, 2007-05-29]",0.0,1283.16,1730.4,,2007-05-29,14738.0,712.0,8770.0,1028.0,7658.0,0.0,106.640625,1710798.75,3028935.25,-0.07,82.2675,1051.5,,30841.25,0.111,7.142875,625.5,,5759.75
"[2007-05-30, 2007-06-05]",0.0,1289.44,1689.8,,2007-06-05,14730.0,530.0,8726.0,970.0,7622.0,0.0,106.16875,662500.4,2817720.0,-0.38,82.15,3872.6,,29797.0,0.012499999999999997,7.1544,424.0,,4669.6
"[2007-06-06, 2007-06-12]",0.0,1295.36,889.0,,2007-06-12,15187.0,589.0,9444.0,976.0,7947.0,0.0,105.21875,50363.0,2842152.6,1.03,82.484,5442.2,,29338.0,0.04000000000000001,7.242,380.8,,2542.4
"[2007-06-13, 2007-06-19]",0.0,1290.9,1342.4,,2007-06-19,15231.0,535.0,9402.0,910.0,7617.0,0.0,104.975,16148.6,2880196.0,-0.10599999999999998,82.9176,1688.4,,24835.0,-0.133,7.1501,55.4,,1757.8
"[2007-06-20, 2007-06-26]",0.0,1293.56,2838.2,,2007-06-26,15288.0,744.0,8316.0,1550.0,7059.0,0.0,105.13125,1119014.0,2843627.2,-0.22,82.30879999999999,3274.8,,17014.8,0.021500000000000002,7.21025,59.0,,1669.75
"[2007-06-27, 2007-07-03]",0.0,1282.96,836.6,,2007-07-03,14533.0,525.0,8602.0,1232.0,6864.0,0.0,105.59375,1096746.8,2793119.6,-0.8499999999999999,81.64399999999999,5198.8,,25822.6,-0.2185,7.114600000000001,286.6,,1772.0
"[2007-07-04, 2007-07-10]",0.0,1311.08,50.2,,2007-07-10,15801.0,758.0,9681.0,784.0,7606.0,0.0,105.0078125,1351845.5,2867959.75,-0.5500000000000002,81.132,3804.4,,36680.2,0.03550000000000001,7.0545,279.8,,3766.0
"[2007-07-11, 2007-07-17]",0.0,1327.8,32.0,,2007-07-17,17001.0,690.0,10564.0,880.0,7970.0,0.0,105.3375,1432070.8,2900734.8,-0.28,80.415,3091.6,,40766.2,-0.05450000000000001,7.046000000000001,89.0,,4297.0
"[2007-07-18, 2007-07-24]",0.0,1342.56,6.6,,2007-07-24,18768.0,607.0,11771.0,893.0,8966.0,0.0,106.075,1360366.6,2849855.6,-0.43999999999999995,80.164,2275.8,,44601.0,-0.115,6.928,209.0,,4383.4
"[2007-07-25, 2007-07-31]",0.0,1308.8199999999997,1166.6,,2007-07-31,14773.0,375.0,7637.0,1863.0,7198.0,0.0,107.2375,2018819.8,2897800.2,0.73,80.602,4497.6,,44833.0,0.2805,7.1185,710.6,,5145.8
"[2007-08-01, 2007-08-07]",0.0,1295.64,1082.8,,2007-08-07,14573.0,433.0,7546.0,1656.0,7222.0,0.0,107.6125,1535359.8,3038008.6,-0.29000000000000004,80.385,3796.0,,42629.6,-0.056,7.1447,336.4,,2157.6
"[2007-08-08, 2007-08-14]",0.0,1281.9599999999998,1660.0,,2007-08-14,12933.0,390.0,5695.0,1987.0,6027.0,0.0,107.43125,1542834.6,2979017.4,1.06,80.776,4698.4,,39074.2,0.247,7.217500000000001,89.4,,2068.0
"[2007-08-15, 2007-08-21]",0.0,1246.3799999999999,2086.6,,2007-08-21,11119.0,1001.0,4371.0,1973.0,4967.0,0.0,108.70625,1473726.0,2879431.2,0.040000000000000036,81.53799999999998,4884.4,,29507.4,0.051000000000000004,7.4512,361.6,,3629.4
"[2007-08-22, 2007-08-28]",0.0,1250.72,992.4,,2007-08-28,10529.0,828.0,4128.0,1844.0,4798.0,0.0,108.93125,1254852.8,2632942.8,-0.75,80.874,2563.0,,23399.4,-0.113,7.266,64.8,,3442.4
"[2007-08-29, 2007-09-04]",0.0,1268.84,1887.6,,2007-09-04,10881.0,710.0,3834.0,2032.0,5060.0,0.0,109.5703125,968494.0,2374718.75,0.13,80.752,1706.0,,23071.6,-0.0735,7.2047,230.4,,2222.0
"[2007-09-05, 2007-09-11]",0.0,1290.7,1303.8,,2007-09-11,11352.0,633.0,4456.0,2030.0,5764.0,0.0,110.66875,136531.2,2315799.2,-1.1800000000000002,80.08200000000001,7491.8,,29631.6,-0.05650000000000001,7.234,159.4,,2431.8
"[2007-09-12, 2007-09-18]",0.0,1302.62,1126.0,,2007-09-18,12205.0,684.0,5576.0,1627.0,5941.0,0.0,110.2,36372.0,2237809.4,-0.01799999999999996,79.5488,1823.4,,37139.4,0.0,7.1654,62.6,,1988.0
"[2007-09-19, 2007-09-25]",0.0,1332.46,2743.4,,2007-09-25,13729.0,346.0,6933.0,823.0,6178.0,0.0,109.0625,916618.8,2233733.2,-0.995,78.64540000000001,3921.4,,31379.0,-0.10800000000000001,7.0973749999999995,99.5,,1987.5
"[2007-09-26, 2007-10-02]",0.0,1371.52,1370.8,,2007-10-02,14621.0,1017.0,7992.0,757.0,6387.0,0.0,109.334375,1036192.2,2295730.6,0.004999999999999949,78.056,3692.8,,40039.8,-0.05849999999999998,6.9763,145.2,,2466.0
"[2007-10-03, 2007-10-09]",0.0,1377.58,31.8,,2007-10-09,14894.0,910.0,8221.0,1330.0,6743.0,0.0,109.1328125,960335.25,2418316.5,0.21000000000000002,78.407,2763.8,,40226.6,-0.050500000000000024,6.9460999999999995,1062.4,,4550.2
"[2007-10-10, 2007-10-16]",0.0,1416.34,12.0,,2007-10-16,14968.0,949.0,8602.0,683.0,7429.0,0.0,108.65,1040803.2,2481128.8,-0.21999999999999997,78.135,2155.8,,40272.6,0.00849999999999998,6.8837,87.6,,5950.0
"[2007-10-17, 2007-10-23]",0.0,1445.66,12.8,,2007-10-23,15504.0,920.0,9044.0,812.0,8125.0,0.0,110.2125,1332339.0,2543804.2,-0.665,77.696,3350.0,,40689.0,-0.191,6.8623,537.8,,7123.6
"[2007-10-24, 2007-10-30]",0.0,1455.8200000000002,253.8,,2007-10-30,15695.0,1100.0,8863.0,903.0,7618.0,0.0,110.76875,1061820.6,2551213.6,-0.795,77.05199999999999,2242.0,,40555.4,-0.1635,6.622199999999999,667.2,,6800.8
"[2007-10-31, 2007-11-06]",0.0,1462.2599999999998,1208.0,,2007-11-06,16382.0,1300.0,9510.0,791.0,7801.0,0.0,110.8375,1553435.2,2589016.8,-0.7000000000000001,76.348,4494.6,,41621.0,-0.028499999999999998,6.5824,114.2,,5873.4
"[2007-11-07, 2007-11-13]",0.0,1433.0000000000002,1898.6,,2007-11-13,13865.0,1204.0,7311.0,836.0,6884.0,0.0,111.625,1402540.75,2748469.25,-0.13,75.61399999999999,5809.2,,37786.2,0.18649999999999997,6.6744,184.4,,6190.0
"[2007-11-14, 2007-11-20]",0.0,1450.3,1637.2,,2007-11-20,13979.0,1391.0,7491.0,600.0,5989.0,0.0,112.51875,1455558.0,2702162.0,-0.69,75.746,2390.4,,37288.0,0.016499999999999987,6.7483,555.2,,6611.4
"[2007-11-21, 2007-11-27]",0.0,1467.3600000000001,1783.6,,2007-11-27,13612.0,1774.0,6993.0,649.0,5243.0,0.0,113.84765625,1542691.0,2630163.0,-0.13,75.03099999999999,2195.8,,37809.8,0.27749999999999997,6.922300000000002,316.8,,6095.2
"[2007-11-28, 2007-12-04]",0.0,1451.12,1884.0,,2007-12-04,13897.0,1820.0,7386.0,455.0,4675.0,0.0,114.115625,1042112.0,2597312.4,0.6450000000000001,75.71000000000001,3992.2,,37463.4,-0.19699999999999998,6.8526,195.2,,2032.0
"[2007-12-05, 2007-12-11]",0.0,1466.8600000000001,1021.2,,2007-12-11,14092.0,1616.0,7713.0,379.0,4963.0,0.0,113.95,87472.8,2499110.4,0.535,76.314,5028.4,,39180.4,-0.08549999999999999,6.7482,279.8,,1924.8
"[2007-12-12, 2007-12-18]",0.0,1489.8999999999999,2284.0,,2007-12-18,16213.0,1668.0,9011.0,370.0,6051.0,0.0,113.3125,22950.6,2349705.2,1.2049999999999998,77.023,7614.0,,49985.6,0.1725,6.8419,50.0,,1696.2
"[2007-12-19, 2007-12-25]",0.0,1528.45,2680.5,,2007-12-24,16670.0,1614.0,9577.0,363.0,6440.0,0.0,112.94921875,347713.5,2195561.5,-0.06,77.64375000000001,1162.0,,26210.5,-0.058,7.058333333333334,143.0,,2671.3333333333335
"[2007-12-26, 2008-01-01]",0.0,1539.25,2249.75,,2007-12-31,17562.0,1477.0,10453.0,230.0,6870.0,0.0,112.52734375,294910.0,2138737.25,-0.8599999999999999,76.67875000000001,3887.0,,32952.25,-0.1335,6.991625,190.25,,3179.75
"[2008-01-02, 2008-01-08]",0.0,1540.54,76.8,,2008-01-08,19500.0,1737.0,12144.0,289.0,8167.0,0.0,114.80625,1065731.6,2215126.0,-0.58,76.014,3385.0,,34682.0,0.006999999999999992,6.9723,143.0,,3399.2
"[2008-01-09, 2008-01-15]",0.0,1570.94,5.6,,2008-01-15,17970.0,1504.0,10782.0,340.0,7328.0,0.0,115.4625,1154294.8,2339194.2,-0.46,75.97200000000001,3379.2,,37156.0,-0.05199999999999999,6.9014,72.0,,3289.2
"[2008-01-16, 2008-01-22]",0.0,1559.2599999999998,553.8,,2008-01-22,16847.0,1225.0,9949.0,412.0,6576.0,0.0,116.76953125,1523717.0,2468131.25,0.8799999999999999,76.536,5147.6,,37498.2,0.274,7.168699999999999,332.6,,3243.6
"[2008-01-23, 2008-01-29]",0.0,1668.44,61.8,,2008-01-29,16759.0,1689.0,9559.0,552.0,6807.0,0.0,117.090625,1546733.2,2582218.0,-0.8749999999999999,75.985,2833.6,,36591.6,0.0895,7.227500000000001,397.4,,2456.8
"[2008-01-30, 2008-02-05]",0.0,1745.6200000000001,2450.2,,2008-02-05,15705.0,1578.0,8956.0,541.0,6885.0,0.0,116.803125,1253967.0,2545635.8,0.6199999999999989,75.549,5312.8,,45016.6,0.44249999999999995,7.5339,355.0,,1972.5
"[2008-02-06, 2008-02-12]",0.0,1883.1200000000001,3020.2,,2008-02-12,15135.0,1773.0,8037.0,424.0,6380.0,0.0,117.028125,1189694.8,2558647.6,0.16500000000000004,76.685,3199.8,,39822.8,0.05499999999999999,7.8069999999999995,0.0,,2468.5
"[2008-02-13, 2008-02-19]",0.0,2064.8,5122.4,,2008-02-19,16153.0,1393.0,7725.0,647.0,6193.0,0.0,116.3203125,1385144.25,2589617.75,-0.37499999999999994,76.28699999999999,2345.6,,37567.8,-0.03900000000000001,7.736700000000001,4.0,,3304.25
"[2008-02-20, 2008-02-26]",0.0,2160.84,3868.8,,2008-02-26,15486.0,1574.0,7696.0,1008.0,6009.0,0.0,115.971875,1574110.8,2487668.2,-1.285,75.56400000000001,3560.8,,40659.0,-0.15649999999999997,7.7754,6.8,,4264.0
"[2008-02-27, 2008-03-04]",0.0,2199.28,3338.0,,2008-03-04,15014.0,1346.0,6861.0,1321.0,5983.0,0.0,117.834375,965843.8,2401136.0,-1.095,73.84400000000001,3240.0,,36067.2,0.35650000000000004,7.7435,43.4,,3323.2
"[2008-03-05, 2008-03-11]",0.0,2122.02,4177.8,,2008-03-11,13669.0,827.0,6407.0,1808.0,5262.0,0.0,118.928125,94220.6,2269772.4,-0.405,73.177,10436.6,,50535.2,-0.095,7.9679,32.6,,2375.6666666666665
"[2008-03-12, 2008-03-18]",0.0,2026.8,2862.8,,2008-03-18,12575.0,813.0,5328.0,1304.0,4406.0,0.0,120.521875,25258.6,2199288.8,-1.9859999999999998,71.7586,7629.2,,57485.4,0.29350000000000004,7.961,23.5,,2057.5
"[2008-03-19, 2008-03-25]",0.0,1904.125,3723.75,,2008-03-25,11413.0,439.0,5517.0,1119.0,3492.0,0.0,119.6875,324002.5,2116342.0,-0.74,72.6635,3870.25,,32739.75,0.13999999999999999,8.303125000000001,3.25,,839.75
"[2008-03-26, 2008-04-01]",0.0,1991.56,1492.8,,2008-04-01,12018.0,609.0,6402.0,1150.0,4253.0,0.0,118.478125,818727.2,2065745.6,0.2749999999999999,72.23100000000001,4670.8,,42145.2,-0.05450000000000003,8.2068,1.6,,1147.0
"[2008-04-02, 2008-04-08]",0.0,2007.3200000000002,102.6,,2008-04-08,11916.0,565.0,6840.0,785.0,4240.0,0.0,117.621875,800597.6,2054662.0,-0.43499999999999994,72.509,2623.0,,41817.6,-0.22150000000000003,7.9413,0.6,,1229.6
"[2008-04-09, 2008-04-15]",0.0,2014.9599999999998,13.2,,2008-04-15,12533.0,617.0,7390.0,643.0,4630.0,0.0,117.853125,843249.6,2076452.2,-0.23999999999999996,72.20500000000001,4306.0,,42880.8,0.1385,7.987900000000001,0.0,,804.8
"[2008-04-16, 2008-04-22]",0.0,2038.42,6.0,,2008-04-22,13881.0,735.0,8247.0,386.0,5749.0,0.0,116.346875,905833.6,2078854.6,-0.75,71.849,8841.0,,43134.2,-0.31500000000000006,7.890799999999999,0.0,,684.2
"[2008-04-23, 2008-04-29]",0.0,1977.0,269.6,,2008-04-29,13968.0,671.0,8313.0,513.0,5420.0,0.0,115.4375,787803.4,2065548.0,1.565,72.75200000000001,6043.0,,40405.0,-0.049,7.719499999999999,0.4,,1046.2
"[2008-04-30, 2008-05-06]",0.0,1922.36,2195.0,,2008-05-06,13961.0,497.0,8331.0,582.0,5307.0,0.0,115.2875,836317.0,2105364.0,0.06999999999999995,73.28800000000001,6240.4,,34367.0,-0.098,7.655099999999999,0.0,,1922.3333333333333
"[2008-05-07, 2008-05-13]",0.0,2049.7,2433.0,,2008-05-13,15783.0,431.0,8925.0,529.0,5645.0,0.0,115.584375,956048.2,2095764.0,0.26,73.42699999999999,5470.4,,33574.2,0.0315,7.6937,0.0,,2668.3333333333335
